config,config_idx,K,world_idx,seed,arm,budget,found,cost,expansions,closed,opt_cost
C_hard_maze,0,2,11,31186773,h_oracle,800,True,2.4908810090206153,29,29,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_next,1600,True,2.4908810090206153,466,466,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_legsum,1600,True,2.4908810090206153,337,337,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_oracle,1600,True,2.4908810090206153,29,29,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_next,3200,True,2.4908810090206153,466,466,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_legsum,3200,True,2.4908810090206153,337,337,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_oracle,3200,True,2.4908810090206153,29,29,2.4908810090206153
C_hard_maze,0,2,12,31234287,h_next,100,False,nan,100,100,2.381034722244619
C_hard_maze,0,2,12,31234287,h_legsum,100,False,nan,100,100,2.381034722244619
C_hard_maze,0,2,12,31234287,h_oracle,100,True,2.3810347222446193,24,24,2.381034722244619
C_hard_maze,0,2,12,31234287,h_next,200,False,nan,200,200,2.381034722244619
C_hard_maze,0,2,12,31234287,h_legsum,200,True,2.3810347222446193,163,163,2.381034722244619
C_hard_maze,0,2,12,31234287,h_oracle,200,True,2.3810347222446193,24,24,2.381034722244619
C_hard_maze,0,2,12,31234287,h_next,400,True,2.3810347222446193,303,303,2.381034722244619
C_hard_maze,0,2,12,31234287,h_legsum,400,True,2.3810347222446193,163,163,2.381034722244619
C_hard_maze,0,2,12,31234287,h_oracle,400,True,2.3810347222446193,24,24,2.381034722244619
C_hard_maze,0,2,12,31234287,h_next,800,True,2.3810347222446193,303,303,2.381034722244619
C_hard_maze,0,2,12,31234287,h_legsum,800,True,2.3810347222446193,163,163,2.381034722244619
C_hard_maze,0,2,12,31234287,h_oracle,800,True,2.3810347222446193,24,24,2.381034722244619
C_hard_maze,0,2,12,31234287,h_next,1600,True,2.3810347222446193,303,303,2.381034722244619
C_hard_maze,0,2,12,31234287,h_legsum,1600,True,2.3810347222446193,163,163,2.381034722244619
C_hard_maze,0,2,12,31234287,h_oracle,1600,True,2.3810347222446193,24,24,2.381034722244619
C_hard_maze,0,2,12,31234287,h_next,3200,True,2.3810347222446193,303,303,2.381034722244619
C_hard_maze,0,2,12,31234287,h_legsum,3200,True,2.3810347222446193,163,163,2.381034722244619
C_hard_maze,0,2,12,31234287,h_oracle,3200,True,2.3810347222446193,24,24,2.381034722244619
