target,backbone,method,K,n_matched,exp_ratio_median,ci_lo,ci_hi,success
C_hard_rooms_large,unet,lora_bounded,4,30,1.001668752607426,0.803921568627451,1.0930232558139534,0.6666666666666666
C_hard_rooms_large,unet,lora_bounded,16,30,0.9918648310387985,0.803921568627451,1.0930232558139534,0.6666666666666666
C_hard_rooms_large,unet,lora_unbounded,1,30,0.9918648310387985,0.803921568627451,1.0930232558139534,0.6666666666666666
C_hard_rooms_large,unet,lora_unbounded,4,30,1.001668752607426,0.803921568627451,1.0930232558139534,0.6666666666666666
C_hard_rooms_large,unet,lora_unbounded,16,30,0.9918648310387985,0.803921568627451,1.0930232558139534,0.6666666666666666
C_hard_rooms_large,unet,full_ft,1,33,0.9019607843137255,0.8431372549019608,0.9787234042553191,0.6777777777777778
C_hard_rooms_large,unet,full_ft,4,33,0.40425531914893614,0.37209302325581395,0.4685922810489852,0.9666666666666667
C_hard_rooms_large,unet,full_ft,16,33,0.40425531914893614,0.3611111111111111,0.5348837209302325,0.9666666666666667
C_hard_rooms_large,unet,scratch,1,3,0.625,0.375,0.7321428571428571,0.12222222222222222
C_hard_rooms_large,unet,scratch,4,33,0.5142857142857142,0.3888888888888889,0.6571428571428571,0.7666666666666667
C_hard_rooms_large,unet,scratch,16,33,0.6595744680851063,0.5531914893617021,0.7210442316461467,0.8222222222222222
